from_person,to_person
P812,P1465
P4651,P307
P4430,P3043
P422,P2175
P4872,P236
P893,P806
P904,P2214
P2504,P4014
P3840,P448
P2592,P1880
P3131,P307
P4560,P1084
P2902,P2088
P2723,P362
P2073,P1970
P1090,P3044
P2210,P90
P2943,P1593
P867,P4048
P3831,P1664
P1610,P2749
P22,P4287
P1154,P717
P3547,P2110
P4714,P4023
P265,P4337
P4725,P2842
P1460,P2146
P88,P1667
P2025,P2904
P3971,P649
P4993,P1011
P1044,P1491
P1579,P606
P4587,P4176
P1183,P473
P1885,P2810
P2317,P3750
P3203,P2845
P108,P3959
P688,P2813
P1078,P2716
P1708,P4322
P1577,P3548
P568,P2852
P865,P4544
P1834,P3193
P822,P4797
P2619,P4317
P1544,P3684
P1288,P4534
P1428,P2706
P3578,P3132
P2230,P2552
P202,P1053
P444,P3598
P2462,P3272
P4422,P1005
P1438,P2529
P1467,P2498
P1274,P964
P677,P505
P2693,P2738
P2285,P3144
P581,P4611
P3886,P4939
P2939,P4024
P2312,P4053
P768,P4885
P3910,P4452
P1982,P501
P3110,P1197
P4865,P1460
P2323,P3499
P3843,P1457
P420,P1944
P120,P2740
P331,P3641
P3228,P1997
P2453,P2352
P4689,P2359
P179,P2462
P3061,P1252
P4334,P201
P4841,P251
P879,P2811
P2394,P826
P2810,P159
P4001,P3876
P4340,P3943
P4388,P2701
P2524,P3471
P1812,P429
P2804,P4801
P2377,P3634
P265,P2724
P1274,P3086
P28,P1821
P1367,P1062
P3632,P4687
P4918,P339
P2030,P4254
P898,P2276
P4543,P4044
P1571,P3492
P1354,P4134
P3384,P59
P3825,P3656
P3392,P2011
P4275,P548
P4267,P3135
P4460,P2210
P880,P4113
P1404,P183
P2221,P1329
P3100,P4917
P3203,P3651
P1113,P3670
P143,P2210
P3897,P4610
P1539,P883
P1003,P1409
P2388,P1411
P1892,P2256
P23,P3441
P3440,P2642
P1515,P3440
P2611,P2780
P2351,P2885
P2660,P3527
P2968,P402
P4177,P1596
P556,P4272
P4071,P4977
P113,P3909
P4590,P3395
P2483,P3372
P4645,P3966
P3322,P4758
P1793,P188
P4735,P1773
P1239,P2908
P123,P3939
P1227,P1462
P4786,P4747
P4594,P3220
P4392,P928
P3416,P4552
P1435,P1774
P2498,P1539
P981,P1598
P4320,P4975
P2772,P4384
P2557,P1109
P3368,P3931
P1088,P4237
P213,P4209
P4956,P367
P176,P1398
P2233,P2405
