person_id,skill_id
P1924,S98
P3210,S6
P1887,S94
P2198,S86
P4917,S8
P1359,S66
P3043,S49
P1159,S50
P1952,S69
P3118,S52
P2891,S67
P4916,S14
P3907,S54
P4787,S31
P929,S37
P1216,S97
P4636,S75
P1989,S84
P504,S61
P3134,S32
P4396,S97
P389,S54
P1868,S71
P3069,S85
P38,S63
P3166,S34
P4731,S44
P2762,S33
P1216,S33
P139,S61
P3017,S25
P3661,S16
P4890,S40
P4759,S78
P28,S3
P3633,S37
P3180,S48
P2994,S33
P4554,S9
P1257,S72
P3869,S45
P4312,S64
P3272,S88
P4956,S64
P2579,S14
P2223,S67
P1024,S92
P10,S93
P1565,S49
P1078,S13
P3607,S50
P255,S60
P4144,S72
P115,S62
P824,S33
P4405,S79
P705,S29
P4926,S99
P4653,S52
P2003,S63
P2192,S43
P788,S55
P4636,S46
P2169,S41
P3882,S32
P1398,S38
P3457,S49
P1148,S84
P3698,S64
P4564,S11
P3024,S89
P3199,S4
P3154,S64
P2777,S66
P4301,S68
P1825,S71
P402,S98
P1098,S93
P546,S87
P3529,S19
P820,S48
P890,S32
P2175,S12
P3218,S42
P4404,S52
P4674,S47
P175,S53
P2309,S61
P3473,S49
P1649,S8
P3330,S47
P1122,S0
P2510,S16
P135,S81
P4252,S93
P3857,S88
P2398,S98
P4493,S5
P4402,S63
P2632,S87
P4186,S19
P3581,S44
P3312,S57
P2538,S32
P2768,S54
P4211,S61
P1437,S66
P2839,S36
P2897,S42
P3507,S77
P1449,S23
P1846,S31
P4459,S88
P2538,S28
P2715,S94
P1206,S11
P460,S55
P955,S8
P4091,S69
P2056,S74
P1074,S5
P243,S86
P4051,S87
P3366,S25
P1337,S22
P4353,S48
P4230,S50
P2983,S32
P3336,S23
P927,S90
P4174,S94
P72,S22
P1230,S15
P2693,S15
P3224,S7
P3602,S18
P3635,S41
P2732,S51
P3864,S19
P836,S75
P1965,S4
P631,S48
P4289,S11
P4167,S59
P3890,S48
P2521,S50
P409,S9
P34,S7
P238,S10
P126,S18
P440,S28
P1410,S54
P849,S17
P2680,S11
P3580,S58
P947,S77
P3752,S4
P1618,S40
P2893,S6
P517,S11
P3855,S35
P3098,S61
P4831,S46
P570,S64
P3688,S41
P2250,S9
P2085,S79
P4762,S0
P3607,S68
P3105,S94
P3841,S48
P3553,S29
P3072,S52
P3906,S78
P1118,S40
P1421,S17
P1916,S15
P2565,S28
P2289,S29
P1717,S67
P1213,S25
P1274,S9
P2133,S13
P1037,S55
P4721,S92
P2555,S24
P2767,S29
P4921,S97
P3765,S67
P2006,S6
P3501,S13
P1994,S8
P549,S92
P850,S0
P822,S88
P4233,S16
P3448,S86
P3724,S71
P4216,S59
P1431,S94
P4160,S28
P590,S11
P2747,S44
P161,S20
P2311,S55
P3853,S9
P223,S26
P3042,S11
P3325,S11
P1243,S83
P1779,S96
P2539,S73
P4273,S58
